Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_623.jpg;0;1;0;1.410866;100.4611;86.61938;1.242889;51.821;-0.0008028161
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_690.jpg;0;1;0;1.458481;100.534;86.71143;1.247673;51.80613;-0.0009555726
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_756.jpg;0;1;0;1.506554;100.5909;86.78309;1.254518;51.79213;-0.0009751364
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_823.jpg;0;1;0;1.568583;100.6494;86.85685;1.256836;51.78165;-0.000981542
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_890.jpg;0;1;0;1.614121;100.7302;86.95863;1.262261;51.7665;-0.001003027
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_956.jpg;-2.986693;1;0;1.660333;100.7936;87.03683;1.26629;51.57402;-2.14563E-05
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_024.jpg;-5.996518;1;0;1.720748;100.8828;87.14251;1.263258;50.90476;0.001510346
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_090.jpg;-9.013906;1;0;1.765624;100.9539;87.22231;1.263946;50.05864;359.9924
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_156.jpg;-6.021951;1;0;1.82474;101.0275;87.30332;1.262302;49.20651;359.991
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_223.jpg;-3.036872;1;0;1.870578;101.1031;87.38654;1.269973;48.63028;0.001654433
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_290.jpg;-0.03168225;1;0;1.916103;101.2065;87.50108;1.291381;48.34065;-0.0003435977
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_356.jpg;0;1;0;1.975542;101.2857;87.58939;1.295192;48.30546;-0.001019506
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_423.jpg;0;1;0;2.021313;101.3669;87.67973;1.299171;48.28746;-0.001129806
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_490.jpg;0;1;0;2.066088;101.4778;87.80321;1.303183;48.27181;-0.001168131
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_556.jpg;0;1;0;2.110433;101.5632;87.89812;1.30732;48.26135;-0.001180356
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_623.jpg;0;1;0;2.169121;101.6503;87.99496;1.30764;48.25016;-0.001178541
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_690.jpg;-3.001274;1;0;2.21384;101.7703;88.12618;1.309919;47.97946;0.0003434134
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_756.jpg;-2.994702;1;0;2.271622;101.8636;88.22544;1.304212;47.50708;0.001065599
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_823.jpg;-0.004720688;1;0;2.315869;101.9589;88.32698;1.318064;47.23447;0.0001203873
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_890.jpg;0;1;0;2.358032;102.0882;88.46546;1.324938;47.15118;-0.001126855
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_01_956.jpg;0;1;0;2.402568;102.1873;88.57149;1.326882;47.13124;-0.00127588
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_023.jpg;0;1;0;2.460227;102.2883;88.67939;1.331627;47.11849;-0.001301075
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_090.jpg;0;1;0;2.503325;102.4257;88.82612;1.336049;47.1047;-0.001335398
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_156.jpg;0;1;0;2.546593;102.5307;88.93829;1.333985;47.09143;-0.001317516
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_223.jpg;0;1;0;2.603596;102.6376;89.05232;1.334563;47.07931;-0.001317463
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_290.jpg;-3.017115;1;0;2.6458;102.784;89.20622;1.338006;46.79539;-7.253718E-05
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_356.jpg;-6.009752;1;0;2.688634;102.8977;89.32185;1.336064;46.1889;0.001717993
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_423.jpg;-3.009739;1;0;2.743643;103.0141;89.43828;1.336124;45.53498;0.0009187502
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_02_490.jpg;-0.01120627;1;0;2.785708;103.1722;89.59665;1.350074;45.15195;-0.001203674
